"","player_api_id","overall_rate","gk_rate","player_name","appear","league"
"6617",150641,66,124,"Baltasar Rigo",1,1
"6618",150644,75,138,"Jonathan Pereira",61,1
"6619",150647,68,136,"Edu Bedia",9,1
"6620",150649,79,141,"Sergio Canales",97,1
"6621",150670,82,91,"Kamil Glik",184,2
"6622",150707,64,124,"David Mendes",28,2
"6623",150731,77,131,"Antonio Amaya",86,1
"6624",150735,72,47,"Manuel Lillo Castellano",35,1
"6625",150737,73,136,"Jose Catala",23,1
"6626",150739,84,138,"Jordi Alba",150,1
"6627",150745,66,124,"Jeffrey Rijsdijk",29,1
"6628",150746,60,49,"Andrea Mutombo",12,1
"6629",150747,74,366,"Etrit Berisha",34,1
"6630",150754,69,133,"Jaime",14,2
"6631",150761,62,128,"Fakhreddine Galbi",8,1
"6632",150764,76,59,"Bernardo",42,1
"6633",150769,73,132,"Pedro Botelho",25,2
"6634",150770,74,124,"Miku",99,2
"6635",150809,66,126,"Marcin Budzinski",107,1
"6636",150824,70,48,"Txema Anibarro",12,1
"6637",150831,68,60,"Francisco Sutil",4,1
"6638",150832,74,126,"Gaizka Toquero",83,1
"6639",150833,74,51,"Valentin Roberge",93,3
"6640",150869,74,137,"Thimothee Kolodziejczak",124,2
"6641",150872,76,127,"Wakaso Mubarak",39,2
"6642",150922,73,113,"Caiuby",31,1
"6643",150968,73,141,"Ivan Obradovic",82,2
"6644",150969,64,116,"Ryan McGivern",56,1
"6645",151009,72,134,"John Boye",52,1
"6646",151050,70,121,"Thiago Cionek",86,2
"6647",151058,74,77,"Dani Benitez",38,1
"6648",151063,80,138,"Coke",107,1
"6649",151075,72,130,"Pablo Cendros",60,2
"6650",151079,74,128,"Alejandro Bergantinos",93,1
"6651",154192,65,58,"Dmitriy Verkhovtsov",5,1
"6652",154228,67,58,"Matthieu Saunier",42,1
"6653",154229,70,48,"Christopher Glombard",36,1
"6654",154230,77,143,"Gregory Sertic",100,1
"6655",154232,82,50,"Grzegorz Krychowiak",124,2
"6656",154233,73,121,"Paul Bastien Lasne",89,1
"6657",154235,79,138,"Miroslav Stoch",31,1
"6658",154238,65,50,"Alessandro Crescenzi",9,1
"6659",154239,77,129,"Andrea Bertolacci",119,1
"6660",154245,74,47,"Luca Caldirola",80,2
"6661",154246,77,133,"Joel Chukwuma Obi",29,1
"6662",154249,79,124,"Mattia Destro",100,1
"6663",154256,76,131,"Xavier Torres",125,1
"6664",154257,86,146,"Sergio Busquets",213,1
"6665",154259,77,136,"Jeffren Suarez",25,2
"6666",154261,55,264,"Oliver Klaus",9,1
"6667",154264,73,49,"Pedro Mendes",51,3
"6668",154265,76,58,"Andre Martins",46,1
"6669",154267,72,52,"Diogo Amado",91,1
"6670",154268,76,56,"Wilson Eduardo",90,2
"6671",154271,77,118,"Martin Kelly",64,1
"6672",154273,68,101,"Nathan Eccleston",6,1
"6673",154276,68,124,"Cedric D'Ulivo",43,1
"6674",154280,76,111,"Jordan Ayew",121,2
"6675",154433,70,137,"Boubacar Diabang Dialiba",56,2
"6676",154856,66,101,"Mana Dembele",6,1
"6677",154867,71,55,"Fabrice N'Sakala",42,2
"6678",154911,61,89,"Pavel Komolov",18,1
"6679",154928,64,37,"Roland Gigolaev",22,1
"6680",154938,79,127,"Mikel Balenziaga",151,1
"6681",154941,62,35,"Anestis Argyriou",8,1
"6682",154949,76,112,"Gueida Fofana",51,1
"6683",154950,65,62,"Adrian Basta",43,1
"6684",154979,66,54,"Hugo Bargas",16,1
"6685",155050,78,63,"Federico Fernandez",106,3
"6686",155052,69,45,"Beshart Abdurahimi",9,1
"6687",155056,76,134,"Thiago Ribeiro",44,1
"6688",155066,83,141,"Juan Cuadrado",139,2
"6689",155075,65,57,"Alexandre Barthe",10,1
"6690",155122,62,103,"Alex MacDonald",6,1
"6691",155129,73,43,"Harry Arter",21,1
"6692",155246,71,350,"Angelo da Costa",45,1
"6693",155254,70,98,"Francesco Caputo",5,1
"6694",155256,70,57,"Bartosz Salamon",1,1
"6695",155257,77,40,"Omar El Kaddouri",51,1
"6696",155260,73,127,"Gabriele Angella",12,1
"6697",155262,70,127,"Robert Gucher",15,1
"6698",155268,69,118,"Marcus Diniz",20,2
"6699",155273,67,126,"Marco Calderoni",1,1
"6700",155278,65,49,"Masahudu Alhassan",2,1
"6701",155297,68,135,"Nicolas Martin Gorobsov",1,1
"6702",155348,64,66,"Neven Markovic",5,1
"6703",155350,56,47,"Viktor Genev",6,1
